id,name_cp,name_ads,area_ha,has_bldg
ky_kehtiv.38601:004:0169,Saare maakond,,12.987399334992094,False
ky_kehtiv.38601:004:0205,Saare maakond,,14.531349599998189,False
ky_kehtiv.38601:004:0027,Saare maakond,,18.533164255002706,False
ky_kehtiv.38601:004:0059,Saare maakond,,14.367402884966804,False
ky_kehtiv.38601:004:0025,Saare maakond,,7.51228841500546,False
ky_kehtiv.38601:004:0072,Saare maakond,,20.125051680015847,False
ky_kehtiv.38601:004:0023,Saare maakond,,7.556582690004821,False
ky_kehtiv.38601:004:0311,Saare maakond,,0.5295155049962557,False
ky_kehtiv.38601:004:0308,Saare maakond,,0.7576562449989613,False
ky_kehtiv.38601:004:0605,Saare maakond,,1.9996595700005535,False
ky_kehtiv.38601:001:0532,Saare maakond,,0.24766009499938021,False
ky_kehtiv.38601:001:0518,Saare maakond,,0.11286002499596808,False
ky_kehtiv.38601:004:0410,Saare maakond,,2.8340170949955477,False
ky_kehtiv.38601:004:0392,Saare maakond,,8.972518314997485,False
ky_kehtiv.38601:004:0420,Saare maakond,,1.3953278399966262,False
ky_kehtiv.38601:004:0441,Saare maakond,,2.2974645200067783,True
ky_kehtiv.38601:004:0465,Saare maakond,,1.187304240001534,True
ky_kehtiv.38601:004:0361,Saare maakond,,1.64053375499519,False
ky_kehtiv.38601:004:0584,Saare maakond,,0.04517315999960122,False
ky_kehtiv.38601:004:0587,Saare maakond,,0.7350203450025725,False
ky_kehtiv.38601:004:0585,Saare maakond,,0.5960133799964941,False
ky_kehtiv.38601:004:0417,Saare maakond,,1.4007000350032093,True
ky_kehtiv.38601:004:0423,Saare maakond,,0.735485700002464,True
ky_kehtiv.38601:004:0466,Saare maakond,,0.7850998000008478,True
ky_kehtiv.38601:001:0522,Saare maakond,,0.8747910250032828,False
ky_kehtiv.71401:001:1228,Saare maakond,,4.516523340002001,False
ky_kehtiv.38601:004:0326,Saare maakond,,0.7000017899988815,True
ky_kehtiv.71401:001:2413,Saare maakond,,11.817325510018854,False
ky_kehtiv.38601:004:0296,Saare maakond,,0.7973187050032304,False
ky_kehtiv.38601:004:0393,Saare maakond,,13.118940620021123,False
ky_kehtiv.38601:004:0360,Saare maakond,,5.942308049989142,True
ky_kehtiv.38601:001:0529,Saare maakond,,0.2175382100006668,True
ky_kehtiv.71401:001:1720,Saare maakond,,0.02442274500011222,False
ky_kehtiv.38601:004:0512,Saare maakond,,0.9997413899972999,False
ky_kehtiv.38601:004:0513,Saare maakond,,1.5230081049977249,False
ky_kehtiv.38601:004:0427,Saare maakond,,5.88216669000761,False
ky_kehtiv.38601:004:0131,Saare maakond,,35.54287240999499,False
ky_kehtiv.38601:004:0054,Saare maakond,,10.470126949996898,False
ky_kehtiv.38601:004:0294,Saare maakond,,32.59751014499864,False
